alert_tag,explication,remediation
gpp_creds_access,"Acces aux preferences de strategie de groupe (mots de passe GPP en clair).","Supprimer les GPP contenant des secrets, reinitialiser les comptes exposes, durcir SYSVOL."
kerberos_rc4,"Ticket Kerberos en RC4 anormal : indicateur de Kerberoasting.","Verifier le compte, basculer en AES/gMSA, surveiller les pics de tickets de service."
local_admin_add,"Ajout dans le groupe administrateurs local : elevation / persistance.","Confirmer le changement, retirer si non autorise, auditer les administrateurs locaux du parc."
local_account_create,"Creation d'un compte local : persistance possible.","Verifier la legitimite, supprimer si non justifie, auditer les comptes locaux de l'hote."
new_country,"Premiere connexion depuis un nouveau pays pour ce compte.","Confirmer le deplacement, sinon revoquer les sessions et reinitialiser le compte + MFA."
adcs_abuse,"Abus de l'autorite de certification AD (ESC1 / ESC8) : usurpation par certificat.","CRITIQUE : verifier les demandes de certificat, revoquer, corriger les gabarits vulnerables."
wmi_lateral_exec,"Execution via WMI avec un binaire detourne : mouvement lateral.","Isoler l'hote, identifier le compte, scan complet, verifier les hotes adjacents."
shadow_credentials,"Modification de msDS-KeyCredentialLink : persistance par identifiants fantomes.","CRITIQUE : retirer la cle ajoutee, reinitialiser le compte cible, auditer les ecritures sur l'attribut."
ldap_recon,"Requetes LDAP anormales : reconnaissance d'annuaire (comptes / groupes).","Identifier la source, verifier l'outil, isoler si reconnaissance hostile, durcir les droits de lecture."
lateral_movement,"Un compte ouvre une session sur plusieurs hotes en peu de temps : mouvement lateral.","Verifier la legitimite, isoler la source si compromise, reinitialiser le compte, tracer le chemin."
eset_detection,"ESET a detecte une menace sur un endpoint.","Isoler le poste, scan complet ESET, confirmer la remediation, enqueter sur la source."
waf_block,"Le WAF (BunkerWeb) a bloque une requete d'exploitation.","Verifier le vhost et l'URL, bloquer l'IP si exploit, inspecter les journaux applicatifs."
vault_auth_fail,"Echecs d'authentification sur Vaultwarden (coffre de mots de passe).","Identifier la source, verrouiller si attaque, ecarter un service casse, durcir l'acces au coffre."
vault_admin,"Action d'administration sur Vaultwarden.","Confirmer l'operation aupres de l'administrateur, revoquer si non justifiee."
vault_admin_abuse,"Tentatives repetees / abus sur l'administration Vaultwarden.","CRITIQUE : verrouiller l'acces, enqueter, reinitialiser les secrets exposes."
scheduled_task,"Tache planifiee creee : mecanisme courant de persistance / elevation.","Verifier la tache et son auteur, supprimer si malveillante, scan complet."
service_install,"Installation d'un nouveau service Windows : persistance / elevation.","Verifier le binaire et le compte, supprimer si non autorise, scan complet."
uac_bypass,"Contournement du controle de compte utilisateur (UAC) : elevation furtive.","Isoler le poste, identifier le processus, scan complet, verifier la persistance."
m365_brute_externe,"Tentatives de force brute M365 depuis l'externe.","Verrouiller / proteger les comptes vises, exiger MFA, bloquer les IP sources."
remote_discovery,"Decouverte de systemes distants : reconnaissance reseau.","Identifier la source, verifier l'outil, isoler si reconnaissance hostile."
service_stop_securite,"Arret d'un service de securite : tentative de neutralisation des defenses.","Isoler le poste, relancer le service, enqueter sur l'auteur, scan complet."
file_sensitive_access,"Acces a des fichiers sensibles sur partage reseau.","Verifier la legitimite de l'acces, restreindre les droits si necessaire, auditer le partage."
file_delete_sensible,"Suppression de fichiers sensibles : destruction de donnees possible.","Verifier l'auteur, restaurer depuis sauvegarde si illegitime, auditer les droits sur le partage."
